link,video_link,title,time,date,day,arm_month,year,month,iso_date,cleaned_title
https://www.1tv.am/hy/video/Հարցազրույց-Ռուստամ-Բադասյանի-հետ/204037,https://www.youtube.com/embed/azlWzDh5-dc?autoplay=1&autohide=1,Հարցազրույց Ռուստամ Բադասյանի հետ,21:35,"10 Հոկ, 2022",10,Հոկ,2022,10,2022-10-10,ռուստամ բադասյան
https://www.1tv.am/hy/video/Հարցազրույց-Հայկ-Կոնջորյանի-հետ/203934,https://www.youtube.com/embed/rcGx0c_ZOuo?autoplay=1&autohide=1,Հարցազրույց Հայկ Կոնջորյանի հետ,21:15,"07 Հոկ, 2022",07,Հոկ,2022,10,2022-10-07,հայկ կոնջորյան
https://www.1tv.am/hy/video/Հարցազրույց-Արթուր-Խաչատրյանի-հետ/203865,https://www.youtube.com/embed/f2v26aBiVlQ?autoplay=1&autohide=1,Հարցազրույց Արթուր Խաչատրյանի հետ,21:30,"06 Հոկ, 2022",06,Հոկ,2022,10,2022-10-06,արթուր խաչատրյան
https://www.1tv.am/hy/video/Հարցազրույց-Դավիթ-Սանասարյանի-հետ/203824,https://www.youtube.com/embed/cboMIP0rhXU?autoplay=1&autohide=1,Հարցազրույց Դավիթ Սանասարյանի հետ,21:15,"05 Հոկ, 2022",05,Հոկ,2022,10,2022-10-05,դավիթ սանասարյան
https://www.1tv.am/hy/video/Հարցազրույց-Լևոն-Շիրինյանի-հետ/203772,https://www.youtube.com/embed/AkB_RCr5BP4?autoplay=1&autohide=1,Հարցազրույց Լևոն Շիրինյանի հետ,21:30,"04 Հոկ, 2022",04,Հոկ,2022,10,2022-10-04,լևոն շիրինյան
https://www.1tv.am/hy/video/Հարցազրույց-Արման-Եղոյանի-հետ/203670,https://www.youtube.com/embed/fOVLg5YULiU?autoplay=1&autohide=1,Հարցազրույց Արման Եղոյանի հետ,21:10,"03 Հոկ, 2022",03,Հոկ,2022,10,2022-10-03,արման եղոյան
https://www.1tv.am/hy/video/Հարցազրույց-Ֆան-Յոնգի-հետ/203551,https://www.youtube.com/embed/1zpaPitrUK4?autoplay=1&autohide=1,Հարցազրույց Ֆան Յոնգի հետ,21:30,"30 Սեպ, 2022",30,Սեպ,2022,09,2022-09-30,ֆան յոնգ
https://www.1tv.am/hy/video/Հարցազրույց-Համբիկ-Սարաֆյանի-հետ/203474,https://www.youtube.com/embed/lW2P56s-89M?autoplay=1&autohide=1,Հարցազրույց Համբիկ Սարաֆյանի հետ,21:35,"29 Սեպ, 2022",29,Սեպ,2022,09,2022-09-29,համբիկ սարաֆյան
https://www.1tv.am/hy/video/Հարցազրույց-Խոսրով-Հարությունյանի-հետ/203388,https://www.youtube.com/embed/BPKzbNjvvp0?autoplay=1&autohide=1,Հարցազրույց Խոսրով Հարությունյանի հետ,21:45,"28 Սեպ, 2022",28,Սեպ,2022,09,2022-09-28,խոսրով հարությունյան
https://www.1tv.am/hy/video/Հարցազրույց-Հովսեփ-Խուրշուդյանի-հետ/203350,https://www.youtube.com/embed/Qkbyjc-rcH0?autoplay=1&autohide=1,Հարցազրույց Հովսեփ Խուրշուդյանի հետ,21:20,"27 Սեպ, 2022",27,Սեպ,2022,09,2022-09-27,հովսեփ խուրշուդյան
https://www.1tv.am/hy/video/Հարցազրույց-Լևոն-Տեր-Պետրոսյանի-հետ/203241,https://www.youtube.com/embed/kTeWytVBdVI?autoplay=1&autohide=1,Հարցազրույց Լևոն Տեր-Պետրոսյանի հետ,21:10,"26 Սեպ, 2022",26,Սեպ,2022,09,2022-09-26,լևոն տեր-պետրոսյան
https://www.1tv.am/hy/video/Հարցազրույց-Դմիտրի-Վոլվաչի-հետ/203055,https://www.youtube.com/embed/Dpv8tBlXnTA?autoplay=1&autohide=1,Հարցազրույց Դմիտրի Վոլվաչի հետ,21:15,"22 Սեպ, 2022",22,Սեպ,2022,09,2022-09-22,դմիտր վոլվաչ
