link,video_link,title,time,date
https://www.1tv.am/hy/video/Հարցազրույց-Համո-Սուքիասյանի-հետ/233408,https://www.youtube.com/embed/rR4w1tKb1M0?autoplay=1&autohide=1,Հարցազրույց Համո Սուքիասյանի հետ,22:10,"05 Մայ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Իվան-Տիմոֆեևի-հետ/233314,https://www.youtube.com/embed/i13ZLwYoLnE?autoplay=1&autohide=1,Հարցազրույց Իվան Տիմոֆեևի հետ,22:10,"02 Մայ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Գեղամ-Նազարյանի-հետ/233243,https://www.youtube.com/embed/wZPqzqnfylg?autoplay=1&autohide=1,Հարցազրույց Գեղամ Նազարյանի հետ,22:10,"01 Մայ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Տարոն-Չախոյանի-հետ/233242,https://www.youtube.com/embed/plzW6EQKlYQ?autoplay=1&autohide=1,Հարցազրույց Տարոն Չախոյանի հետ,22:10,"30 Ապր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Սրբուհի-Գալյանի-հետ/233177,https://www.youtube.com/embed/hcLhnUIN7Y0?autoplay=1&autohide=1,Հարցազրույց Սրբուհի Գալյանի հետ,22:10,"29 Ապր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Լիլիթ-Մինասյանի-հետ/233120,https://www.youtube.com/embed/lqmSDYB-_hY?autoplay=1&autohide=1,Հարցազրույց Լիլիթ Մինասյանի հետ,22:10,"28 Ապր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Հակոբ-Մովսեսի-հետ/233051,https://www.youtube.com/embed/62_pUJLnvlo?autoplay=1&autohide=1,Հարցազրույց Հակոբ Մովսեսի հետ,22:10,"25 Ապր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Ռուբեն-Սաֆրաստյանի-հետ/232999,https://www.youtube.com/embed/tbQATYApYSI?autoplay=1&autohide=1,Հարցազրույց Ռուբեն Սաֆրաստյանի հետ,22:10,"24 Ապր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Արծվիկ-Մինասյանի-հետ/232980,https://www.youtube.com/embed/kJLWgZQ-myI?autoplay=1&autohide=1,Հարցազրույց Արծվիկ Մինասյանի հետ,22:10,"23 Ապր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Էդուարդ-Հակոբյանի-հետ/232933,https://www.youtube.com/embed/330z2yi8DG0?autoplay=1&autohide=1,Հարցազրույց Էդուարդ Հակոբյանի հետ,22:10,"22 Ապր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Արփինե-Սարգսյանի-հետ/232895,https://www.youtube.com/embed/yGrd3FBdix8?autoplay=1&autohide=1,Հարցազրույց Արփինե Սարգսյանի հետ,22:10,"21 Ապր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Հարություն-Մկրտչյանի-հետ/232743,https://www.youtube.com/embed/11H4Oqi5jXU?autoplay=1&autohide=1,Հարցազրույց Հարություն Մկրտչյանի հետ,22:10,"16 Ապր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Անդրանիկ-Քոչարյանի-հետ/232723,https://www.youtube.com/embed/s8z730bpo2Y?autoplay=1&autohide=1,Հարցազրույց Անդրանիկ Քոչարյանի հետ,22:10,"15 Ապր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Գեղամ-Ստեփանյանի-հետ/232706,https://www.youtube.com/embed/nCr1QheWiAQ?autoplay=1&autohide=1,Հարցազրույց Գեղամ Ստեփանյանի հետ,22:10,"14 Ապր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Ստաս-Նամինի-հետ/232536,https://www.youtube.com/embed/joSP83VHA3I?autoplay=1&autohide=1,Հարցազրույց Ստաս Նամինի հետ,22:10,"09 Ապր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Ռոդիոն-Միրոշնիկի-հետ/232513,https://www.youtube.com/embed/T4wlpkrrpTM?autoplay=1&autohide=1,Հարցազրույց Ռոդիոն Միրոշնիկի հետ,22:10,"08 Ապր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Տիգրան-Խաչատրյանի-հետ/232466,https://www.youtube.com/embed/8HStP0XZ5zQ?autoplay=1&autohide=1,Հարցազրույց Տիգրան Խաչատրյանի հետ,22:10,"07 Ապր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Վահագն-Ալեքսանյանի-հետ/232383,https://www.youtube.com/embed/DEqd9AROqe4?autoplay=1&autohide=1,Հարցազրույց Վահագն Ալեքսանյանի հետ,22:10,"04 Ապր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Արմեն-Նուրբեկյանի-հետ/232322,https://www.youtube.com/embed/ciTvwcUaanE?autoplay=1&autohide=1,Հարցազրույց Արմեն Նուրբեկյանի հետ,22:10,"03 Ապր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Վահրամ-Թոքմաջյանի-հետ/232294,https://www.youtube.com/embed/W4U6OGE1Sdk?autoplay=1&autohide=1,Հարցազրույց Վահրամ Թոքմաջյանի հետ,22:10,"02 Ապր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Լիլիթ-Դալլաքյանի-հետ/232282,https://www.youtube.com/embed/XQUhqQOUACE?autoplay=1&autohide=1,Հարցազրույց Լիլիթ Դալլաքյանի հետ,22:10,"01 Ապր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Արեգ-Քոչինյանի-հետ/232225,https://www.youtube.com/embed/34FcpDxd3nY?autoplay=1&autohide=1,Հարցազրույց Արեգ Քոչինյանի հետ,22:10,"31 Մար, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Սարիկ-Մինասյանի-հետ/232165,https://www.youtube.com/embed/AkJy5NJ5ds4?autoplay=1&autohide=1,Հարցազրույց Սարիկ Մինասյանի հետ,22:10,"28 Մար, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Մարտուն-Գրիգորյանի-հետ/232157,https://www.youtube.com/embed/qOem8WMgRqI?autoplay=1&autohide=1,Հարցազրույց Մարտուն Գրիգորյանի հետ,19:00,"28 Մար, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Լևոն-Բարսեղյանի-հետ/232064,https://www.youtube.com/embed/7utSMb_5Dkw?autoplay=1&autohide=1,Հարցազրույց Լևոն Բարսեղյանի հետ,22:10,"26 Մար, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Արտյոմ-Ղարաղազարյանի-հետ/232055,https://www.youtube.com/embed/JHPaKoFH3Ec?autoplay=1&autohide=1,Հարցազրույց Արտյոմ Ղարաղազարյանի հետ,20:30,"26 Մար, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Վարդան-Ղուկասյանի-հետ/232024,https://www.youtube.com/embed/foNM1cFHOTo?autoplay=1&autohide=1,Հարցազրույց Վարդան Ղուկասյանի հետ,22:10,"25 Մար, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Կարեն-Սիմոնյանի-հետ/231979,https://www.youtube.com/embed/QXe6voYx9r4?autoplay=1&autohide=1,Հարցազրույց Կարեն Սիմոնյանի հետ,22:10,"24 Մար, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Արտյոմ-Թումանյանի-հետ/231978,https://www.youtube.com/embed/NqmM11ROeBw?autoplay=1&autohide=1,Հարցազրույց Արտյոմ Թումանյանի հետ,20:30,"24 Մար, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Անդերս-Ֆոգ-Ռասմուսենի-հետ/231848,https://www.youtube.com/embed/xqMrtijccuM?autoplay=1&autohide=1,Հարցազրույց Անդերս Ֆոգ Ռասմուսենի հետ,22:10,"20 Մար, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Քրիստինե-Վարդանյանի-հետ/231800,https://www.youtube.com/embed/2f2bBulNidU?autoplay=1&autohide=1,Հարցազրույց Քրիստինե Վարդանյանի հետ,22:10,"19 Մար, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Արեգ-Քոչինյանի-հետ/231782,https://www.youtube.com/embed/HaOw3W2h5Yg?autoplay=1&autohide=1,Հարցազրույց Արեգ Քոչինյանի հետ,22:10,"18 Մար, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Արսեն-Թորոսյանի-հետ/231714,https://www.youtube.com/embed/JWmKXMjNULo?autoplay=1&autohide=1,Հարցազրույց Արսեն Թորոսյանի հետ,22:10,"17 Մար, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Հայկ-Կոնջորյանի-հետ/231637,https://www.youtube.com/embed/EtbizvjWz5A?autoplay=1&autohide=1,Հարցազրույց Հայկ Կոնջորյանի հետ,22:10,"14 Մար, 2025"
