link,video_link,title,time,date,day,arm_month,year,month,iso_date,cleaned_title,video_id,Duration,Thumbnail_URL,Views
https://www.1tv.am/hy/video/Հարցազրույց-Արծվիկ-Մինասյանի-հետ/232980,https://www.youtube.com/embed/kJLWgZQ-myI?autoplay=1&autohide=1,Հարցազրույց Արծվիկ Մինասյանի հետ,22:10,"23 Ապր, 2025",23,Ապր,2025,4,2025-04-23,արծվիկ մինասյան,kJLWgZQ-myI,00:31:21,https://i.ytimg.com/vi/kJLWgZQ-myI/hqdefault.jpg,82480
https://www.1tv.am/hy/video/Հարցազրույց-Էդուարդ-Հակոբյանի-հետ/232933,https://www.youtube.com/embed/330z2yi8DG0?autoplay=1&autohide=1,Հարցազրույց Էդուարդ Հակոբյանի հետ,22:10,"22 Ապր, 2025",22,Ապր,2025,4,2025-04-22,էդուարդ հակոբյան,330z2yi8DG0,00:27:06,https://i.ytimg.com/vi/330z2yi8DG0/hqdefault.jpg,10715
https://www.1tv.am/hy/video/Հարցազրույց-Արփինե-Սարգսյանի-հետ/232895,https://www.youtube.com/embed/yGrd3FBdix8?autoplay=1&autohide=1,Հարցազրույց Արփինե Սարգսյանի հետ,22:10,"21 Ապր, 2025",21,Ապր,2025,4,2025-04-21,արփինե սարգսյան,yGrd3FBdix8,00:34:10,https://i.ytimg.com/vi/yGrd3FBdix8/hqdefault.jpg,32642
https://www.1tv.am/hy/video/Հարցազրույց-Հարություն-Մկրտչյանի-հետ/232743,https://www.youtube.com/embed/11H4Oqi5jXU?autoplay=1&autohide=1,Հարցազրույց Հարություն Մկրտչյանի հետ,22:10,"16 Ապր, 2025",16,Ապր,2025,4,2025-04-16,հարություն մկրտչյան,11H4Oqi5jXU,00:36:40,https://i.ytimg.com/vi/11H4Oqi5jXU/hqdefault.jpg,56597
https://www.1tv.am/hy/video/Հարցազրույց-Անդրանիկ-Քոչարյանի-հետ/232723,https://www.youtube.com/embed/s8z730bpo2Y?autoplay=1&autohide=1,Հարցազրույց Անդրանիկ Քոչարյանի հետ,22:10,"15 Ապր, 2025",15,Ապր,2025,4,2025-04-15,անդրանիկ քոչարյան,s8z730bpo2Y,00:28:06,https://i.ytimg.com/vi/s8z730bpo2Y/hqdefault.jpg,54529
https://www.1tv.am/hy/video/Հարցազրույց-Գեղամ-Ստեփանյանի-հետ/232706,https://www.youtube.com/embed/nCr1QheWiAQ?autoplay=1&autohide=1,Հարցազրույց Գեղամ Ստեփանյանի հետ,22:10,"14 Ապր, 2025",14,Ապր,2025,4,2025-04-14,գեղամ ստեփանյան,nCr1QheWiAQ,00:38:30,https://i.ytimg.com/vi/nCr1QheWiAQ/hqdefault.jpg,44385
https://www.1tv.am/hy/video/Հարցազրույց-Ստաս-Նամինի-հետ/232536,https://www.youtube.com/embed/joSP83VHA3I?autoplay=1&autohide=1,Հարցազրույց Ստաս Նամինի հետ,22:10,"09 Ապր, 2025",9,Ապր,2025,4,2025-04-09,ստաս նամին,joSP83VHA3I,00:25:21,https://i.ytimg.com/vi/joSP83VHA3I/hqdefault.jpg,46021
https://www.1tv.am/hy/video/Հարցազրույց-Ռոդիոն-Միրոշնիկի-հետ/232513,https://www.youtube.com/embed/T4wlpkrrpTM?autoplay=1&autohide=1,Հարցազրույց Ռոդիոն Միրոշնիկի հետ,22:10,"08 Ապր, 2025",8,Ապր,2025,4,2025-04-08,ռոդիոն միրոշնիկ,T4wlpkrrpTM,00:25:46,https://i.ytimg.com/vi/T4wlpkrrpTM/hqdefault.jpg,40736
https://www.1tv.am/hy/video/Հարցազրույց-Տիգրան-Խաչատրյանի-հետ/232466,https://www.youtube.com/embed/8HStP0XZ5zQ?autoplay=1&autohide=1,Հարցազրույց Տիգրան Խաչատրյանի հետ,22:10,"07 Ապր, 2025",7,Ապր,2025,4,2025-04-07,տիգրան խաչատրյան,8HStP0XZ5zQ,00:25:30,https://i.ytimg.com/vi/8HStP0XZ5zQ/hqdefault.jpg,18856
https://www.1tv.am/hy/video/Հարցազրույց-Վահագն-Ալեքսանյանի-հետ/232383,https://www.youtube.com/embed/DEqd9AROqe4?autoplay=1&autohide=1,Հարցազրույց Վահագն Ալեքսանյանի հետ,22:10,"04 Ապր, 2025",4,Ապր,2025,4,2025-04-04,վահագն ալեքսանյան,DEqd9AROqe4,00:20:40,https://i.ytimg.com/vi/DEqd9AROqe4/hqdefault.jpg,78120
https://www.1tv.am/hy/video/Հարցազրույց-Արմեն-Նուրբեկյանի-հետ/232322,https://www.youtube.com/embed/ciTvwcUaanE?autoplay=1&autohide=1,Հարցազրույց Արմեն Նուրբեկյանի հետ,22:10,"03 Ապր, 2025",3,Ապր,2025,4,2025-04-03,արմեն նուրբեկյան,ciTvwcUaanE,00:29:51,https://i.ytimg.com/vi/ciTvwcUaanE/hqdefault.jpg,24654
https://www.1tv.am/hy/video/Հարցազրույց-Վահրամ-Թոքմաջյանի-հետ/232294,https://www.youtube.com/embed/W4U6OGE1Sdk?autoplay=1&autohide=1,Հարցազրույց Վահրամ Թոքմաջյանի հետ,22:10,"02 Ապր, 2025",2,Ապր,2025,4,2025-04-02,վահրամ թոքմաջյան,W4U6OGE1Sdk,00:28:36,https://i.ytimg.com/vi/W4U6OGE1Sdk/hqdefault.jpg,55883
https://www.1tv.am/hy/video/Հարցազրույց-Լիլիթ-Դալլաքյանի-հետ/232282,https://www.youtube.com/embed/XQUhqQOUACE?autoplay=1&autohide=1,Հարցազրույց Լիլիթ Դալլաքյանի հետ,22:10,"01 Ապր, 2025",1,Ապր,2025,4,2025-04-01,լիլիթ դալլաքյան,XQUhqQOUACE,00:23:10,https://i.ytimg.com/vi/XQUhqQOUACE/hqdefault.jpg,62087
https://www.1tv.am/hy/video/Հարցազրույց-Արեգ-Քոչինյանի-հետ/232225,https://www.youtube.com/embed/34FcpDxd3nY?autoplay=1&autohide=1,Հարցազրույց Արեգ Քոչինյանի հետ,22:10,"31 Մար, 2025",31,Մար,2025,3,2025-03-31,արեգ քոչինյան,34FcpDxd3nY,00:19:31,https://i.ytimg.com/vi/34FcpDxd3nY/hqdefault.jpg,51212
https://www.1tv.am/hy/video/Հարցազրույց-Սարիկ-Մինասյանի-հետ/232165,https://www.youtube.com/embed/AkJy5NJ5ds4?autoplay=1&autohide=1,Հարցազրույց Սարիկ Մինասյանի հետ,22:10,"28 Մար, 2025",28,Մար,2025,3,2025-03-28,սարիկ մինասյան,AkJy5NJ5ds4,00:24:06,https://i.ytimg.com/vi/AkJy5NJ5ds4/hqdefault.jpg,27692
https://www.1tv.am/hy/video/Հարցազրույց-Մարտուն-Գրիգորյանի-հետ/232157,https://www.youtube.com/embed/qOem8WMgRqI?autoplay=1&autohide=1,Հարցազրույց Մարտուն Գրիգորյանի հետ,19:00,"28 Մար, 2025",28,Մար,2025,3,2025-03-28,մարտուն գրիգորյան,qOem8WMgRqI,00:28:20,https://i.ytimg.com/vi/qOem8WMgRqI/hqdefault.jpg,30934
