,link,video_link,title,time,date,video_id,views,likes,comments,shares
1140,https://www.1tv.am/hy/video/Հարցազրույց-Հայկ-Կոնջորյանի-հետ/159436,https://www.youtube.com/embed/WOpwmGwgPbc?autoplay=1&autohide=1,Հարցազրույց Հայկ Կոնջորյանի հետ,21:45,"08 Օգս, 2020",WOpwmGwgPbc,9549,311,0,N/A
1141,https://www.1tv.am/hy/video/Հարցազրույց-Զարեհ-Սինանյանի-հետ/159413,https://www.youtube.com/embed/YLAFAZOeiT0?autoplay=1&autohide=1,Հարցազրույց Զարեհ Սինանյանի հետ,20:30,"07 Օգս, 2020",YLAFAZOeiT0,2496,77,0,N/A
1142,https://www.1tv.am/hy/video/Հարցազրույց-Սեբուհ-Մղջյանի-հետ/159383,https://www.youtube.com/embed/7rvp91LMF8Y?autoplay=1&autohide=1,Հարցազրույց Սեբուհ Մղջյանի հետ,20:25,"06 Օգս, 2020",7rvp91LMF8Y,1625,29,0,N/A
1143,https://www.1tv.am/hy/video/Հարցազրույց-Տեր-Պետրոս-վարդապետ-Մանվելյանի-հետ/159314,https://www.youtube.com/embed/2AXPFWd2IzQ?autoplay=1&autohide=1,Հարցազրույց Տեր Պետրոս վարդապետ Մանվելյանի հետ,20:30,"05 Օգս, 2020",2AXPFWd2IzQ,2253,17,0,N/A
1144,https://www.1tv.am/hy/video/Հարցազրույց-Ավետ-Պողոսյանի-հետ/159200,https://www.youtube.com/embed/cV2-iNsuksE?autoplay=1&autohide=1,Հարցազրույց Ավետ Պողոսյանի հետ,20:25,"04 Օգս, 2020",cV2-iNsuksE,1595,29,0,N/A
1145,https://www.1tv.am/hy/video/Հարցազրույց-Լիլիթ-Մկրտչյանի-և-Դավիթ-Թինոյանի-հետ/159196,https://www.youtube.com/embed/xC_nglIjaes?autoplay=1&autohide=1,Հարցազրույց Լիլիթ Մկրտչյանի և Դավիթ Թինոյանի հետ,21:20,"03 Օգս, 2020",xC_nglIjaes,6351,72,12,N/A
1146,https://www.1tv.am/hy/video/Հարցազրույց-Հանս-Կլուգեի-հետ/159052,https://www.youtube.com/embed/3L_cc-vdNwI?autoplay=1&autohide=1,Հարցազրույց Հանս Կլուգեի հետ,20:40,"01 Օգս, 2020",3L_cc-vdNwI,2444,46,4,N/A
1147,https://www.1tv.am/hy/video/Հարցազրույց-Ռոմանոս-Պետրոսյանի-հետ/159017,https://www.youtube.com/embed/X1yQM26Sju0?autoplay=1&autohide=1,Հարցազրույց Ռոմանոս Պետրոսյանի հետ,21:30,"31 Հլս, 2020",X1yQM26Sju0,8976,221,22,N/A
1148,https://www.1tv.am/hy/video/Հարցազրույց-Հայկ-Գաբրիելյանի-հետ/158940,https://www.youtube.com/embed/nGv9M4SJcIo?autoplay=1&autohide=1,Հարցազրույց Հայկ Գաբրիելյանի հետ,20:30,"30 Հլս, 2020",nGv9M4SJcIo,5554,80,10,N/A
1149,https://www.1tv.am/hy/video/Հարցազրույց-Սիսակ-Գաբրիելյանի-հետ/158908,https://www.youtube.com/embed/EmWMYlGnfXQ?autoplay=1&autohide=1,Հարցազրույց Սիսակ Գաբրիելյանի հետ,20:30,"29 Հլս, 2020",EmWMYlGnfXQ,3096,104,1,N/A
1150,https://www.1tv.am/hy/video/Հարցազրույց-Արայիկ-Հարությունյանի-հետ/158694,https://www.youtube.com/embed/Eozn1hlOftw?autoplay=1&autohide=1,Հարցազրույց Արայիկ Հարությունյանի հետ,21:30,"27 Հլս, 2020",Eozn1hlOftw,10399,257,51,N/A
1151,https://www.1tv.am/hy/video/Հարցազրույց-Հակոբ-Տեր-Խաչատուրյանի-հետ/158594,https://www.youtube.com/embed/UxpI9o0ib3Y?autoplay=1&autohide=1,Հարցազրույց Հակոբ Տեր-Խաչատուրյանի հետ,21:45,"25 Հլս, 2020",UxpI9o0ib3Y,3879,67,5,N/A
1152,https://www.1tv.am/hy/video/Հարցազրույց-Անդրանիկ-Քոչարյանի-հետ/158555,https://www.youtube.com/embed/PZ9rvJphXQw?autoplay=1&autohide=1,Հարցազրույց Անդրանիկ Քոչարյանի հետ,20:35,"24 Հլս, 2020",PZ9rvJphXQw,19846,407,28,N/A
1153,https://www.1tv.am/hy/video/Հարցազրույց-Արծրուն-Հովհաննիսյանի-հետ/158507,https://www.youtube.com/embed/PUXH_-weh6M?autoplay=1&autohide=1,Հարցազրույց Արծրուն Հովհաննիսյանի հետ,21:15,"23 Հլս, 2020",PUXH_-weh6M,10904,274,30,N/A
1154,https://www.1tv.am/hy/video/Հարցազրույց-Արմեն-Գրիգորյանի-հետ/158453,https://www.youtube.com/embed/8NStfob6jmc?autoplay=1&autohide=1,Հարցազրույց Արմեն Գրիգորյանի հետ,20:20,"22 Հլս, 2020",8NStfob6jmc,7159,156,8,N/A
