"U.S. Senator, Full Term (Vote for  1)   **** - Insufficient Turnout to Protect Voter Privacy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,"Registered 
Voters",,Undervotes,Overvotes,Precinct,"STEVE GARVEY
(REP) ",,"DENICE GARY-PANDOL
(REP) ",,,"LAURA GARZA
(NPP) ",,"SEPI GILANI
(DEM) ",,,"DON J. GRUNDMANN
(NPP) ",,"FORREST JONES
(AI) ",,"BARBARA LEE
(DEM) ",,"GAIL LIGHTFOOT
(LIB) ",,"SARAH SUN LIEW
(REP) ",,"SHARLETA BASSETT
(REP) ",,"JAMES BRADLEY
(REP) ",,"MARTIN VEPRAUSKAS
(REP) ",,"ERIC EARLY
(REP) ",,"ADAM B. SCHIFF
(DEM) ",,"MAJOR SINGH
(NPP) ",,"STEFAN SIMCHOWITZ
(REP) ",,"CHRISTINA PASCUCCI
(DEM) ",,"DAVID PETERSON
(DEM) ",,"PERRY POUND
(DEM) ",,"KATIE PORTER
(DEM) ",,"DOUGLAS H. PIERCE
(DEM) ",,"RAJI RAB
(DEM) ",,"MARK RUZON
(NPP) ",,"JONATHAN REISS
(REP) ",,"JOHN ROSE
(DEM) ",,"HARMESH KUMAR
(DEM) ",,"JAMES ""JIM"" MACAULEY
(REP) ",,Total Votes,"DANNY FABRICANT
Qualified Write In 
",,"CARLOS GUILLERMO TAPIA
Qualified Write In 
",,"MICHAEL JOSEPH DILGER
Qualified Write In 
",,"JOHN DOWELL
Qualified Write In 
",
203880,,,,,,203880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,2,38,,****,****,Election Day,****,****,****,,****,****,****,****,,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
Vote by Mail,18,38,,1,0,Vote by Mail,0,,0,,,0,,0,,,0,,0,,10,,0,,0,,0,,0,,0,,0,,2,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,17,0,,0,,0,,0,
Total,20,38,,2,0,Total,0,,0,,,0,,0,,,0,,0,,10,,0,,0,,0,,0,,0,,0,,3,,0,,0,,0,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,18,0,,0,,0,,0,
203890,,,,,,203890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,0,35,,0,0,Election Day,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,
Vote by Mail,23,35,,0,0,Vote by Mail,0,,0,,,0,,0,,,0,,0,,6,,0,,0,,0,,0,,0,,0,,6,,0,,0,,0,,0,,0,,11,,0,,0,,0,,0,,0,,0,,0,,23,0,,0,,0,,0,
Total,23,35,,0,0,Total,0,,0,,,0,,0,,,0,,0,,6,,0,,0,,0,,0,,0,,0,,6,,0,,0,,0,,0,,0,,11,,0,,0,,0,,0,,0,,0,,0,,23,0,,0,,0,,0,
204210,,,,,,204210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,111,"2,082",,5,0,Election Day,7,,0,,,1,,0,,,1,,0,,53,,2,,0,,0,,1,,0,,3,,16,,1,,2,,2,,0,,0,,15,,0,,0,,0,,0,,0,,2,,0,,106,0,,0,,0,,0,
