precinct,total_votes,candidate_name_1,candidate_name_2,candidate_name_3,candidate_name_4,candidate_name_5+,candidate_pct_1,candidate_pct_2,candidate_pct_3,candidate_pct_4,candidate_pct_5+,candidate_votes_1,candidate_votes_2,candidate_votes_3,candidate_votes_4,candidate_votes_5+,winner,spread,county
214600,1869.0,Adam B. Schiff,Katie Porter,Barbara Lee,Steve Garvey,Other,0.3579454253611557,0.29373996789727125,0.29213483146067415,0.03638309256286784,0.019796682718031033,669.0,549.0,546.0,68.0,37.0,Adam B. Schiff,0.06420545746388445,Alameda County
215110,1499.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.45096731154102737,0.2601734489659773,0.25483655770513675,0.01801200800533689,0.016010673782521682,676.0,390.0,382.0,27.0,24.0,Barbara Lee,0.19079386257505004,Alameda County
215400,671.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.4128166915052161,0.27421758569299554,0.2459016393442623,0.037257824143070044,0.029806259314456036,277.0,184.0,165.0,25.0,20.0,Barbara Lee,0.13859910581222057,Alameda County
215500,1749.0,Adam B. Schiff,Katie Porter,Barbara Lee,Steve Garvey,Other,0.3927958833619211,0.28530588907947396,0.2715837621497999,0.037164093767867355,0.013150371640937679,687.0,499.0,475.0,65.0,23.0,Adam B. Schiff,0.10748999428244715,Alameda County
215700,1525.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.48,0.29508196721311475,0.18622950819672132,0.018360655737704918,0.020327868852459016,732.0,450.0,284.0,28.0,31.0,Barbara Lee,0.18491803278688523,Alameda County
215800,707.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.5318246110325319,0.26308345120226306,0.15275813295615276,0.02545968882602546,0.026874115983026876,376.0,186.0,108.0,18.0,19.0,Barbara Lee,0.2687411598302688,Alameda County
223010,2065.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.3820823244552058,0.33123486682808717,0.24455205811138014,0.025665859564164648,0.01646489104116223,789.0,684.0,505.0,53.0,34.0,Barbara Lee,0.05084745762711862,Alameda County
224000,2556.0,Adam B. Schiff,Barbara Lee,Katie Porter,Steve Garvey,Other,0.4569640062597809,0.2515649452269171,0.229264475743349,0.044209702660406885,0.017996870109546165,1168.0,643.0,586.0,113.0,46.0,Adam B. Schiff,0.20539906103286382,Alameda County
224500,941.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.3783209351753454,0.27523910733262485,0.2667375132837407,0.048884165781083955,0.030818278427205102,356.0,259.0,251.0,46.0,29.0,Barbara Lee,0.10308182784272052,Alameda County
224600,1362.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.3443465491923642,0.33480176211453744,0.2555066079295154,0.03524229074889868,0.03010279001468429,469.0,456.0,348.0,48.0,41.0,Barbara Lee,0.009544787077826744,Alameda County
